ticker,company_name,isin,sector,records,source_company_name,page_exists
TTLK,"ПАО ""Таттелеком""",RU000A0HM5C1,Технологии,2902,Таттелеком,True
TUZA,ТЗА ао,RU000A0HL7A2,,1575,ТЗА,True
UGLD,Южуралзолото ГК,RU000A0JPP37,Обрабатывающая промышленность,1620,Южуралзолото | ЮГК,True
UKUZ,"ОАО ""Южный Кузбасс""",RU0005294775,Энергетика,2210,Южный Кузбасс,True
UNAC,"ОАО ""Объединенная авиастроительная корпорация""",RU000A0JPLZ7,Промышленность,2508,ОАК,True
UNKL,ОАО «Южно-Уральский никелевый комбинат»,RU0004887991,Металлы и добыча,1835,ЮУНК,True
UPRO,"ПАО ""Юнипро""",RU000A0JNGA5,Коммунальные услуги,4250,Юнипро,True
URKA,ПАО «Уралкалий»,RU0007661302,Химическая промышленность,2588,Уралкалий,True
URKZ,УрКузница,RU000A0JPFY2,,2057,Уральская кузница,True
USBN,"ПАО ""Урало-Сибирский банк""",RU0006929536,Финансы,1177,Уралсиб,True
UTAR,"ПАО ""Авиакомпания ""ЮТэйр""",RU0007661385,Транспорт,2797,Ютэйр,True
UWGN,"ПАО ""НПК ОВК""",RU000A0JVBT9,Промышленность,2701,ОВК,True
VGSB,"ОАО ""ВолгоградэнергоCбыт""",RU000A0D8L73,Коммунальные услуги,1988,Волгоградэнергосбыт,True
VJGZ,"ПАО ""Варьеганнефтегаз""",RU0009046460,Энергетика,1473,Варьеганнефтегаз,True
VKCO,Вконтакте,RU000A106YF0,Технологии,2017,ВК | VK,True
VLHZ,ВХЗ-ао,RU0007984761,,2627,ВХЗ,True
VRSB,"ПАО ""ТНС энерго Воронеж""",RU000A0DPG67,Коммунальные услуги,2763,ТНС энерго Воронеж,True
VSEH,ВсеИнcтрументы.ру,RU000A108K09,Потребительские товары длительного пользования,1235,ВсеИнструменты.ру,True
VSMO,"ПАО ""Корпорация ВСМПО-АВИСМА""",RU0009100291,Обрабатывающая промышленность,2625,ВСМПО-АВИСМА,True
VSYD,"ПАО ""Выборгский судостроительный завод""",RU0006334372,Промышленность,2190,Выборгский судостроительный завод (ВСЗ),True
VTBR,Банк ВТБ (ПАО),RU000A0JP5V6,Финансы,3266,ВТБ,True
WTCM,"ОАО ""Центр международной торговли""",RU0008137070,Недвижимость,2637,ЦМТ,True
WUSH,Whoosh,RU000A105EX7,Транспорт,1686,Вуш Холдинг | WHOOSH,True
X5,X5 Retail Group N.V.,RU000A108X38,Потребительские товары недлительного пользования,2893,X5 | ИКС 5,True
YAKG,ЯТЭК,RU0007796819,Энергетика,2463,ЯТЭК,True
YDEX,Яндекс,RU000A107T19,Технологии,2671,Яндекс,True
YKEN,ЯТЭК,RU0009257075,Энергетика,2921,Якутскэнерго,True
YRSB,"ОАО ""Ярославская сбытовая компания""",RU000A0D8760,Коммунальные услуги,2697,ТНС энерго Ярославль,True
ZAYM,Займер,RU000A107RM8,Финансы,550,Займер,True
ZILL,АО «ЗИЛ»,RU0009086193,Промышленность,1269,ЗИЛ,True
ZVEZ,"ПАО ""Звезда""",RU0009091300,Промышленность,1338,Звезда,True
